language,percentage,population(100m),sim
eng,44.43,14.56,1.0
deu,5.45,1.33,0.9025419790150204
rus,6.03,2.55,0.8117540630909456
jpn,5.15,1.23,0.5001930129390555
fra,4.39,3.1,0.8117540630909456
spa,4.54,5.59,0.8215938655409548
zho,5.08,11.38,0.7107724707650861
ita,2.58,0.68,0.8577941541015601
por,1.76,2.57,0.8423970023882502
nld,1.97,0.3,0.9242930987335743
vie,1.03,0.85,0.6603302477064306
ind,0.86,1.99,0.7265477421488705
hin,0.17,6.1,0.6161953991557162
ben,0.1,2.73,0.5834482328466172
arb,0.59,2.74,0.6443860762255925
zul,0.0019,0.29,0.44189395817353094
urd,0.0265,2.4,0.6161953991557162
swh,0.0073,0.88,0.47384831384339077
fin,0.37,0.06,0.7107724707650861
hun,0.67,0.14,0.6939542359352535
cym,0.01,0.005,0.7188946323483355
ydd,0.01,0.005,0.9499679070317292
ltz,0.005,0.004,0.9357754408380655
swe,0.65,0.103,0.9334163073596637
lim,0.003,0.003,0.9097816785925638
nob,0.014,0.05,0.8986182904354195
dan,0.015,0.58,0.8800782326533972
fao,0.001,0.05,0.8800782326533972
cat,0.01,0.1,0.8729434821372647
isl,0.002,0.03,0.8687219087128831
nno,0.008,0.04,0.8687219087128831
bul,0.006,0.07,0.8577941541015601
afr,0.014,0.39,0.849394767744346
ast,0.002,0.06,0.8472686738391099
fur,0.002,0.01,0.8472686738391099
mkd,0.01,0.02,0.8472686738391099
ukr,0.02,0.43,0.8472686738391099
kea,0.004,0.05,0.8378378378378377
lij,0.001,0.01,0.8371213775625377
lmo,0.001,0.01,0.8371213775625377
vec,0.001,0.01,0.8371213775625377
hrv,0.015,0.04,0.8318003918560581
scn,0.002,0.02,0.8273301474304354
slk,0.006,0.05,0.8215938655409548
epo,0.003,0.01,0.817874635209406
srd,0.003,0.02,0.8160720960636173
oci,0.002,0.02,0.8117540630909456
szl,0.002,0.03,0.8117540630909456
slv,0.01,0.02,0.8058066296105564
glg,0.004,0.01,0.8022595369022403
ron,0.02,0.19,0.7959190572428
als,0.005,0.05,0.7959190572428
srp,0.01,0.12,0.7959190572428
ltg,0.001,0.01,0.7897471897389845
lvs,0.001,0.01,0.7897471897389845
bel,0.01,0.09,0.7863867486193535
pol,0.03,0.38,0.7863867486193535
ell,0.015,0.1,0.7830553464958117
bos,0.01,0.03,0.7798128673650545
est,0.01,0.01,0.7734020832408641
gla,0.003,0.01,0.7567567567567567
