lang,a,b,y,k
en,0.7837150127226463,0.12836438923395446,0.1774193548387097,0.17142857142857143
ru,0.7685714285714286,0.33540372670807456,0.25308641975308643,0.3055555555555556
de,0.7167070217917676,0.10973084886128365,0.2641509433962264,0.15492957746478872
ja,0.7012048192771084,0.17805383022774326,0.45348837209302323,0.336734693877551
es,0.7289002557544757,0.18219461697722567,0.3522727272727273,0.27672955974842767
fr,0.7592137592137592,0.17184265010351968,0.2891566265060241,0.31724137931034485
zh-CN,0.75,0.07867494824016563,0.23684210526315788,0.08695652173913043
it,0.7559055118110236,0.2587991718426501,0.28,0.34838709677419355
pt,0.7238979118329466,0.10351966873706005,0.46,0.16774193548387098
nl,0.7506493506493507,0.15320910973084886,0.21621621621621623,0.23622047244094488
vi,0.7830985915492957,0.2505175983436853,0.10743801652892562,0.125
id,0.745920745920746,0.20082815734989648,0.38144329896907214,0.3314285714285714
ar,0.6978609625668449,0.14285714285714285,0.42028985507246375,0.25766871165644173
sv,0.7713498622589532,0.17184265010351968,0.1686746987951807,0.2037037037037037
hu,0.728,0.18426501035196688,0.34831460674157305,0.16551724137931034
fi,0.7435294117647059,0.2463768115942029,0.5462184873949579,0.22448979591836735
hi,0.7524509803921569,0.10144927536231885,0.3877551020408163,0.13953488372093023
bn,0.7234567901234568,0.08281573498964803,0.15,0.112
lv,0.7630208333333334,0.19461697722567287,0.2553191489361702,0.14516129032258066
ur,0.7188264058679706,0.12008281573498965,0.3275862068965517,0.07194244604316546
cy,0.7133956386292835,0.2546583850931677,0.0975609756097561,0.3225806451612903
sw,0.7186700767263428,0.2712215320910973,0.48091603053435117,0.27860696517412936
am,0.6742424242424242,0.09937888198757763,0.375,0.21818181818181817
zu,0.7213114754098361,0.2567287784679089,0.29838709677419356,0.2064516129032258
mi,0.5911458333333334,0.18219461697722567,0.23863636363636365,0.13612565445026178
